Symbol,PEGRatio,ForwardPE, CurrentRatio, PriceBook, LeveredFreeCashFlow, ShortRatio %
AAPL,1.21,12.53,1.08,5.53,36530000000
AMZN,-12.79,251.03,0.89,12.99,3730000000
C,1.39,9.67,N/A,0.77,N/A
DIS,1.26,18.96,1.14,3.30,6590000000
EBAY,1.55,15.56,1.56,3.21,5660000000
ESRT,4.92,18.59,0.90,3.93,23470000
F,1.17,8.64,N/A,2.00,N/A
FB,1.26,39.58,12.82,11.22,3110000000
GLW,0.97,12.12,4.53,1.25,840000000
GMCR,2.33,35.38,3.43,6.81,685800000
GOOGL,1.24,18.15,4.47,3.77,5370000000
GRPN,2.77,29.87,1.02,5.41,183570000
GS,1.22,10.53,N/A,1.16,N/A
JNJ,2.63,16.76,N/A,3.76,N/A
KORS,0.80,16.23,6.09,7.72,362120000
LNKD,2.85,73.93,3.90,8.53,38250000
MCD,3.40,16.28,N/A,5.69,N/A
MMM,1.71,18.33,1.65,5.91,4760000000
MSFT,2.63,14.64,2.52,4.20,23410000000
NFLX,3.94,79.46,1.50,13.25,2990000000
NKE,1.89,22.29,2.81,7.13,2300000000
SBUX,1.58,24.08,1.16,11.26,1820000000
SCCO,1.58,14.13,3.23,4.06,124940000
SKUL,-4.14,24.88,3.69,1.58,17230000
SNDK,0.85,13.71,1.85,2.86,1670000000
SNE,N/A,N/A,0.88,0.87,5940000000
TGT,1.63,15.90,1.02,2.37,1410000000
TWTR,6.13,111.82,6.65,9.67,309370000
YHOO,4.37,36.37,2.87,1.19,4480000000
